"","POLY_ID","MEDHVAL","PCTBACHMOR","MEDHHINC","PCTVACANT","PCTSINGLES","cluster"
"383",383,62600,5.3125,4178,40.2985,1.99,1
"384",384,61900,10.5603,34856,11.5607,0,1
"385",385,53000,10.2564,15060,9.7744,0,1
"386",386,62300,9.1286,22059,9.1837,0,1
"387",387,95000,18.6312,19167,24.5033,0,1
"388",388,194600,64.564,18372,10.2067,2.4548,2
"389",389,91400,74.4762,15000,9.1185,3.6474,2
"390",390,129000,56.13,25984,7.024,0,2
"391",391,126000,57.3464,26083,8.547,0,2
"392",392,38800,18.3976,31029,15.6352,0,1
"393",393,190000,50.4505,18750,10.8747,2.8369,2
"394",394,225000,79.4118,6830,0,4.5833,2
"395",395,70000,48.7528,11014,10.5882,2.3529,1
"396",396,87000,28.2258,8523,5.6537,9.1873,1
"397",397,83300,13.1034,17115,0,3.6649,1
"398",398,104700,82.2394,19167,2.6515,0,2
"399",399,152300,57.1429,20294,3.8147,3.5422,2
"400",400,203100,50.9804,10428,4.9149,0,2
"401",401,88100,48.7239,30282,15.7143,3.3333,1
"402",402,165200,57.3407,27500,9.9042,4.4728,2
"403",403,76000,11.7021,32857,6.2992,0,1
"404",404,156300,9.2504,7093,1.7915,0,1
"405",405,55000,6.7901,17054,13.6691,28.0576,1
"406",406,38800,14.759,27250,19.2171,0,1
"407",407,36000,16,20445,29.2035,2.6549,1
"408",408,43100,19.1406,22083,26.2745,1.9608,1
"409",409,51300,17.2749,18281,17.3661,2.3155,1
"410",410,29500,5.8081,20761,10.8844,10.8844,1
"411",411,25200,8.7603,19907,16.2896,6.1086,1
"412",412,32500,0,17377,31.7495,3.0238,1
"413",413,35700,2.381,29958,14.8585,14.1509,1
"414",414,27800,10.3131,17181,20.6266,1.8277,1
"415",415,45500,2.8796,25000,20.6897,2.7586,1
"416",416,27100,11.8343,17083,12.1429,6.4286,1
"417",417,32500,1.9397,18317,23.622,0,1
"418",418,31100,10.6849,22500,19.5652,7.4534,1
"419",419,27400,1.8116,13080,8.1028,2.5692,1
"420",420,30200,15.6951,12396,20.2899,3.3816,1
"421",421,34900,12.4654,17146,14.9635,1.8248,1
"422",422,40600,5.4688,23864,11.032,18.1495,1
"423",423,28100,4.5161,20625,19.3642,13.0058,1
"424",424,38100,2.3324,29563,17.2932,7.5188,1
"425",425,33500,0,11344,22.6667,0,1
"426",426,33600,1.5873,23000,17.2662,7.554,1
"427",427,31700,4.9587,23452,21.1111,7.4074,1
"428",428,29500,4.7761,11705,8.6957,4.7826,1
"429",429,35400,10.1392,30188,20.8791,0,1
"430",430,33500,5.205,24509,19.7727,11.8182,1
"431",431,37100,6.4655,18102,16.5333,6.1333,1
"432",432,43300,4.1667,36053,20.2941,4.4118,1
"433",433,26600,6.4159,19891,20.1133,17.847,1
"434",434,93600,32.5,36094,0,0,1
"435",435,71600,21.3371,35050,5.5684,1.6241,1
"436",436,75200,26.6262,41292,5.7317,1.4634,1
"437",437,71400,17.5348,41500,4.3915,4.8934,1
"438",438,71000,32.2917,40515,0,0,1
"439",439,68100,20.6284,37679,4.185,0,1
"440",440,69400,20.339,46250,5.1724,5,1
"441",441,194000,54.1176,106723,2.3622,96.063,2
"442",442,61900,14.9905,39886,0,14.5522,1
"443",443,61700,12.069,29922,9.6667,0,1
"444",444,53500,13.4956,27500,16.7665,2.994,1
"445",445,48500,10.6771,25667,9.4862,13.834,1
"446",446,71100,7.7612,31563,5.6075,0,1
"447",447,54800,24.5833,35417,12.5,3.9773,1
"448",448,67800,8.9744,33958,6.9388,2.449,1
"449",449,40800,4.8598,28050,18.8442,3.7688,1
"450",450,41600,8.0078,38750,16.5312,0,1
"451",451,27900,8.1911,26750,19.5455,10.9091,1
"452",452,36600,7.781,33235,20.6186,10.3093,1
"453",453,45500,10.9504,24934,17.3077,5.0481,1
"454",454,54600,10.3198,24718,11.7506,2.6379,1
"455",455,48600,10.3814,34792,7.6696,0,1
"456",456,45200,5.2036,23917,10.7843,0,1
"457",457,26500,2.9703,15667,15.3543,12.5984,1
"458",458,36600,4.4444,16058,9.5023,2.7149,1
"459",459,27100,8.8372,16429,8.6486,11.8919,1
"460",460,54300,22.1106,16726,16.0714,0,1
"461",461,44000,16.5577,31458,13.8158,9.2105,1
"462",462,36700,6.3158,24583,8.1152,9.9476,1
"463",463,34300,13.4387,37188,21.5686,4.902,1
"464",464,33000,6.7327,16250,15.1515,7.2261,1
"465",465,34100,3.1111,29107,21.6,0,1
"466",466,30400,0.8547,14792,28.5088,0,1
"467",467,27300,2.8947,16726,6.7925,6.0377,1
"468",468,32500,0,13482,9.0476,8.5714,1
"469",469,33600,10.5991,21176,33.945,0,1
"470",470,28300,11.2903,28750,6.1594,3.2609,1
"471",471,29000,11.2957,31010,19.305,0,1
"472",472,26700,6.4965,21250,20.7483,0,1
"473",473,29200,10.5903,7214,8.8319,5.4131,1
"474",474,26700,0,15714,34.4156,1.9481,1
"475",475,41500,13.587,17847,27.1318,10.8527,1
"476",476,23900,8.6957,10037,20,4.2424,1
"477",477,22500,0,14750,21.0526,0,1
"478",478,23300,4.5714,18056,24.8408,3.8217,1
"479",479,31700,0,17250,33.908,0,1
"480",480,41800,9.4595,29531,46.8354,0,1
"481",481,15000,4.5726,13875,9.3645,12.3746,1
"482",482,22900,9.6296,22000,28.4211,5.7895,1
"483",483,25400,0,13875,21.3235,0,1
"484",484,27900,16.2712,14821,25.1572,9.434,1
"485",485,38100,0,22292,30.1676,11.1732,1
"486",486,19000,0,14643,21,21,1
"487",487,37200,4.3956,17250,25.2941,18.8235,1
"488",488,24200,0,8967,21.2435,6.7358,1
"489",489,28400,4.6512,25333,18.0064,3.537,1
"490",490,29700,5.5385,14300,19.6078,3.5294,1
"491",491,22000,2.7708,9640,22.8571,6.7857,1
"492",492,24400,15.864,18194,20.2247,12.7341,1
"493",493,37600,7.9365,16950,20.7627,17.3729,1
"494",494,28000,19.6875,18790,31.8182,7.6555,1
"495",495,32600,6.2035,12128,20.7792,20.1299,1
"496",496,33900,4.6602,21350,22.4691,23.4568,1
"497",497,61300,17.2996,9427,9.3333,6.2222,1
"498",498,63100,19.6809,30208,2.008,6.4257,1
"499",499,34600,6.2992,5400,8.6093,0,1
"500",500,34000,16.7421,20391,19.7605,0,1
"501",501,27200,5.8651,12117,14.4201,14.4201,1
"502",502,22000,8.9686,29327,16.6667,6.5972,1
"503",503,33100,6.0823,22200,21.663,3.9387,1
"504",504,23500,2.0942,9596,27.7778,0,1
"505",505,19400,10.5611,14286,32.567,7.2797,1
"506",506,14700,4.771,22917,20.0528,0,1
"507",507,14900,6.2305,25469,23.3962,0,1
"508",508,35300,0,20809,31.746,0,1
"509",509,40500,11.8056,24970,16.6667,3.0303,1
"510",510,37100,10.5906,23800,7.0845,4.6322,1
"511",511,30000,6.0109,16477,8,0,1
"512",512,37800,11.8644,8750,14.5455,0,1
"513",513,27800,9.1716,20750,23.0453,16.0494,1
"514",514,26300,3.4783,30972,37.5,0.5208,1
"515",515,31800,0,30625,11.254,2.8939,1
"516",516,32700,11.7409,23472,12.0112,5.3073,1
"517",517,39100,9.1904,18892,7.5758,0,1
"518",518,39000,16.1232,36125,15.427,0,1
